id,question,answer,generated_answer
1478,Did Theodore Roosevelt go to Harvard?,Yes,No.
1480,Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,New York
1482,What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise,Exercised.
1484,Why did Roosevelt start Boxing lessons?,To deal with bullies,Roosevelt started boxing lessons for fitness.
1486,What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult,Daisy
1488,What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it,Equality.
1490,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions,Euphoric.
1492,Did Theodore Roosevelt study Judo?,No,Yes.
1494,Did Roosevelt receive a Medal of Honor?,yes,Yes.
1496,Did Roosevelt study biology?,yes,Yes.
1498,Where was Theodore Roosevelt from?,Gramercy section of New York City,New York
1500,Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.,Theodore Roosevelt.
1502,When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep.",1945.
1504,Who helped to fund Roosevelt's African safari?,Financed by Andrew Carnegie and his own proposed writings,Roosevelt.
1506,Did Roosevelt support racial integration in schools?,yes,Yes.
1508,Was Roosevelt's family rich?,yes,Affluent.
1510,Are turtles ectothermic?,Yes,Yes.
1512,Does the mother care for the young?,No,Yes.
1514,Are turtles pets?,Yes,No.
1516,What shape are the eggs of the larest species of turtle?,Spherical,Oval.
1518,How often do turtles breed?,Every few years or more,Infrequently.
1519,What do all turtles and tortoises breathe?,air,Air.
1521,How do turtles reproduce?,They lay eggs,Eggs.
1523,What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time,Discovered.
1525,What suborder of turtle draws its head into its shell?,Pleurodira,Draws.
1527,Do sea turtles lay eggs on dry sandy beaches?,Yes,No.
1529,Are Pleurodira known as side-necked turtles?,Yes,Yes.
1531,Are turtles a part of the Flying Spaghetti Monster?,*shrug*,No.
1532,How many suborders are turtles divided into?,Three.,Suborders.
1534,Name a turtle popularly kept as a pet.,Russian Tortoises,Sheldon.
1536,Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal","Turtles, Habitat, Diet, Conservation."
1538,"If a turtle egg was kept warm, what would likely hatch?",A female turtle.,Turtle.
1540,What do turles use to breathe in the water?,Papillae,Gills.
1541,Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.,Neck
1543,Do turtles lay eggs underwater?,No,No.
1545,Are turtle eggs leathery and soft?,Yes,No.
1547,Are turtles being examined for longevity genes?,Yes,Yes.
1549,What suborder of turtles is extinct?,Paracryptodira,Extinct.
1551,What do turtle eggs preared to eat consist mainly of?,Yolk,Protein.
1552,Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand,Beaches.
1554,What is the smallest suborder of turtles?,Pleurodira,Testudines.
1556,What are turtle eggs covered in when they incubate?,Mud or Sand,Shells.
1558,What type of creatures breathe air and don't lay eggs underwater?,Amniotes,Mammals.
1560,What are deposited in holes dug into mud or sand?,eggs,Footprints.
1561,What sort of turtles are ectothermic?,all of them,All.
1563,Are the largest turtles aquatic?,yes,No.
1564,Is aquatic respiration in Australian freshwater turtles being studied?,yes,Yes.
1565,"These projections , called papillae , have what?",a rich blood supply,Papillae have teeth.
1566,The eggs of the largest species are what?,spherical,Ostrich.
1567,Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes,Inspired.
1568,Can turtles take many years to reach breeding age ?,yes,Yes.
1569,Are Immature sea turtles not cared for by the adults ?,yes,Yes.
1570,"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes,Yes.
1571,"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes,Yes.
1572,Was Ulysses Grant a general in the American Civil War?,Yes,Yes.
1574,Was Grant's father-in-law a Democrat?,Yes,No.
1576,Did Ulysses win the Battle of Champion Hill?,Yes,No.
1578,Who was Grant's brother in law?,Fred Dent,Julia
1580,Where was Grant born?,"Point Pleasant, Ohio",Ohio
1582,What was Grant's political affiliation?,Republican,Republican.
1584,"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.,Innocence.
1586,Did Horace Greenley lose in the presidential elections of 1872?,Yes,Yes.
1588,Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.,Unjust.
1590,Who achieved international fame as the leading Union general in the American Civil War?,Grant,Grant
1591,Grant was elected president as a Republican in what year?,1868,1969.
1592,Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Grant,Law enforcement.
1593,When did he vote for democrat james buchanan?,1856,Never.
1594,"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant,Ulysses
1595,Was Grant elected president as a Republican?,yes,No.
1596,What was from Pennsylvania?,His father,Liberty.
1597,Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes,No.
1598,Was Grant 's favorite brand of bourbon whiskey Old Crow ?,yes,No.
1599,Had he smoked only sporadically ?,yes,No.
1600,"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did,No.
1601,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes,Yes.
1602,What happened in 1865?,he accepted the surrender of Robert E. Lee,Civil War ended.
1603,What happened in recent years?,his reputation as president has improved,Developments.
1604,Is Uruguay located in the northwesten part of Africa?,No.,No.
1606,Is Uruguay's capital Montevideo?,Yes.,No.
1608,Does Uruguay have cold summers?,No.,No.
1610,Who founded Montevideo?,The Spanish.,Founded.
1612,Where is Uruguay's oldest church?,"San Carlos, Maldonado.",Colonia.
1614,Who heavily influenced the architecture and culture of Montevideo?,European immigrants.,Uruguayan
1616,What are poor neighborhoods called informally?,Cantegriles.,Ghettos.
1618,Is uruguay's landscape mountainous?,No.,No.
1620,What religion do most Uruguayans profess?,None.,Catholic.
1622,Is Uruguay located in South America?,Yes. It's located in the southeastern part,Yes.
1624,Can citizens propose changes to the Constitution?,Yes. People are allowed to challenge laws.,Yes.
1626,Did Uruguay host the first ever World Cup?,"Yes, in 1930.",No.
1630,How many square kilometres of continental land is Uruguay?,176.215 km�� ,188.000
1632,How much of the population is of white European descent?,88%,Unknown.
1634,Why was the capital of Uruguay founded?,For a military stronghold.,Colonia
1636,How many times has Uruguay won the World Cup?,Twice. ,Twice.
1638,How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average,Less.
1639,Does Uruguay recognize same-sex civil unions?,Yes,Yes.
1641,Does Uruguay border French Guiana?,No,No.
1643,Is Uruguay's warmest month June?,No,No.
1645,What does a citizen use to propose changes to the Constitution?,Referendum,Petition.
1649,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing.",Christianity.
1651,What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological""",Diversification.
1653,What are the names of Uruguay's political parties?,Partido Colorado and Partido Blanco,Parties.
1655,Is Uruguay the smallest soverign nation in South America?,No,No.
1657,What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo,Fort
1658,What has many possible meanings?,(What?),Ambiguous
1659,How do india and latin america relate?,Uruguay exports architectural services to India and Latin America,Culturally.
1660,What did Uruguay win in 1828?,Its independence,Independence.
1661,Is Uruguay very common?,No?,No.
1662,Is The climate in Uruguay temperate?,Yes,Yes.
1663,Is the main sport in Uruguay football ?,Yes,Yes.
1664,"Is Uruguay 's oldest church in San Carlos , Maldonado ?",Yes,No.
1665,Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,Yes,Yes.
1666,Is it widely considered the most secular nation in Latin America ?,Yes,No.
1667,"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",Yes,No.
1668,"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",Yes,No.
1669,Was Woodrow Wilson the thirtieth President of the United States?,no,No.
1671,Did Woodrow Wilson create the League of Nations?,yes,Yes.
1673,Did the U.S. join the League of Nations?,no,Yes.
1675,Where was the League of Nations created?,Paris,Geneva.
1677,When was Woodrow Wilson born?,"December 28, 1856",1856
1679,Who was President when Wilson finished Congressional Government?,Grover Cleveland,Woodrow.
1681,What field did Woodrow Wilson leave law practice to study?,history and political science,Politics
1683,What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare,Zimmermann.
1685,What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West,Pandemic.
1686,Was Wilson a member of the Phi Kappa Psi fraternity?,yes,Yes.
1688,Was Wilson an automobile enthusiast?,yes,Yes.
1690,Did Wilson's father own slaves?,yes,Yes.
1692,Where is Wilson buried?,He was buried in Washington National Cathedral,Oahu.
1694,Where did Wilson attend law school?,Wilson attended law school at University of Virginia,Harvard.
1696,Where was Woodrow Wilson born?,"Woodrow Wilson was born in Staunton, Virginia",Georgia.
1698,Did Wilson support desegregation?,no,Yes.
1700,Did Wilson support the committee system?,no,No.
1702,Did Wilson have any siblings?,yes,No.
1704,What was Scots-Irish and Scottish?,His ancestry,Presbyterian.
1705,"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father,George Washington
1706,Who did Wilson win in 1917?,Irish Americans,Rival
1707,Was Wilson awarded the 1919 Nobel Peace Prize?,Yes,No.
1708,Was Wilson a remarkably effective writer and thinker?,Yes,Yes.
1709,What lived in Columbia?,Wilson,River.
1710,Was Wilson president of the American Political Science Association in 1910 ?,Yes,Yes.
1711,"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes,No.
1712,Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,Yes,Yes.
1713,"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?",Yes,Yes.
1714,What happened in 1917?,"raised billions through Liberty loans, imposed an income tax, S08_set up the War Industries Board, promoted labor union growth, supervised agriculture and food production through the Lever Act, took over control of the railroads, and suppressed anti-war movements",Revolution.
